groupid	original	translated
1	Da dove vieni?	你是哪儿的人？
1	Da dove venite?	你们是哪儿的人？
1	Da dove viene il tuo insegnante?	你的老师是哪儿的人？
2	Di che nazionalità sei?	你是那国人？
2	Di che nazionalità è il loro insegnante?	他们的老师是那国人？
2	Di che nazionalità è il tuo amico?	你的朋友是那国人？
3	Come ti chiami?	你叫什么名字？
3	Come si chiama lei (ella)?	她叫什么名字？
3	Come si chiama il vostro insegnante?	你们的老师叫什么名字？
3	Mi scusi, qual è il suo cognome?	请问，您贵姓？
4	Chi sono gli studenti dell'università di Roma?	谁是罗马大学的学生？
5	Che cosa studia Marco?	马可学习什么？
6	Io sono cinese.	我是中国人。
6	Io sono italiano.	我是意大利人。
7	Ti chiami Marco, giusto? Esatto.	你叫马可吧？对。
8	Ti piace guardare film?	你喜欢看电影吗？
9	Mi piace leggere.	我喜欢看书。
10	Quali sono i tuoi hobbies?	你的爱好是什么？
11	Egli balla raramente.	他很少跳舞。
12	Non amo ascoltare musica cinese.	我不喜欢听中国音乐。
12	Amo cantare musica cinese.	我喜欢唱中国音乐歌。
13	Guardo spesso la televisione.	我常看电视。
13	Navighi spesso su internet?	你常上网吗？
14	Al mio amico piace studiare, a me no.	我的朋友喜欢学习，我不喜欢。
15	Dove vai?	你去哪儿？
15	Torno a casa.	我回家。
15	Vado ad acquistare un libro.	我去买书。
15	Questa sera andiamo insieme a vedere un film?	今天晚上我们一起去看电影？
15	Questa sera andiamo insieme a vedere un film， ti va bene?	今天晚上我们一起去看电影，好吗？//今天晚上我们一起去看电影，行吗？
15	Questa sera vado a trovare un amico.	今天晚上我去看朋友。
15	Dove vai a comprare libri di solito?	你常去哪儿买书？
16	Non va bene.	不行。
16	Va bene.	行。
